m	n	k	dmin	dmax	ratio moyen LSA	ratio moyen LPT	ratio moyen RMA
5	15	10	2	10	1.2178317445214117	1.0452763277300825	1.729013697039563
5	25	10	2	10	1.108369389786292	1.0145452005339244	1.606591397013268
5	35	10	2	10	1.070622595537063	1.0139366983229454	1.4985893346770414
5	45	10	2	10	1.0527732816662616	1.0073133328355028	1.4794850880680486
5	55	10	2	10	1.0446401940843741	1.00602361642903	1.3928366490802397
5	65	10	2	10	1.048009317047279	1.0064149058058873	1.3706930431304536
10	30	20	3	20	1.252964055848011	1.0417103233794118	2.0472968127911164
10	40	20	3	20	1.195632068701922	1.026586426666887	1.8903560092144014
10	50	20	3	20	1.156843176341259	1.0152569376193366	1.7276920749666493
10	60	20	3	20	1.1219409320236309	1.0121853012486943	1.75962623229895
10	70	20	3	20	1.1029395760528875	1.010682974828161	1.670701470182862
10	80	20	3	20	1.092433307401334	1.006432437350582	1.6125223128794817
15	45	30	4	30	1.271405344088986	1.0445833700087528	2.2024510320305866
15	55	30	4	30	1.2260725191496853	1.0447456113124083	2.0747942923751865
15	65	30	4	30	1.18799213446281	1.0355315510648555	2.1081439056242313
15	75	30	4	30	1.1630070418034584	1.0175703218823018	1.884256451369929
15	85	30	4	30	1.1401419116468583	1.0229027537467776	1.8203147660655785
15	95	30	4	30	1.1270375094655574	1.024292930563634	1.7471086003898648
20	60	40	5	40	1.3040584177773038	1.0528194989823154	2.4142216153443496
20	70	40	5	40	1.2547002339738635	1.0509232544397216	2.253169440804931
20	80	40	5	40	1.2114280637797505	1.02557269714277	2.2543818296911584
20	90	40	5	40	1.1801900571663795	1.0368128078838	2.0314528097843962
20	100	40	5	40	1.1746990708017269	1.0170268033301093	2.023946666274078
20	110	40	5	40	1.1564913775110068	1.0245105349376658	1.924523074184235
25	75	50	7	50	1.2876926619610831	1.0542468432655654	2.505706385887336
25	85	50	7	50	1.25231367832384	1.0475070265910313	2.389561586948268
25	95	50	7	50	1.234373215075051	1.0348000606322	2.2966369314870385
25	105	50	7	50	1.2035075984646249	1.0430188327139145	2.237783095911772
25	115	50	7	50	1.190753955282148	1.033486385507759	2.0992767061661795
25	125	50	7	50	1.1712784487038175	1.0157591550345286	2.0299652208227745
